자치구,연도,성별,심폐지구력,근력,평균BMI,1~2등급비율,3등급비율,4~5등급비율
강서구,2020,남,-0.27272664109653305,-0.018973845321669697,21.698245614035088,52.12246431254696,38.335837716003006,9.541697971450038
강서구,2020,여,-0.2528601160908726,-0.18965749408701807,20.587719298245613,63.888888888888886,32.79320987654321,3.3179012345679015
강서구,2022,남,-0.16264035034056898,-0.5656809629219957,22.625,39.70204841713222,43.01675977653631,17.28119180633147
강서구,2022,여,0.30941894897002853,-0.10221794709532411,20.84333333333333,48.805007587253414,42.640364188163886,8.554628224582702
강서구,2023,남,-0.44221291815901287,-0.653175046463146,22.285,44.61912783080667,39.322478008609394,16.05839416058394
강서구,2023,여,-0.15221912918362593,0.1752497302618765,20.81833333333333,58.967964703625555,34.49069633608287,6.541338960291579
강서구,2024,남,-0.5539970144597951,-0.32284510060679955,21.98,48.45720939258684,36.94934989326606,14.5934407141471
강서구,2024,여,-0.5427632549335628,-0.3853227265473391,20.708333333333332,59.66067864271457,33.93213572854291,6.407185628742515
강서구,2025,남,-0.30229818596485597,-0.1529944646760488,22.116666666666667,45.76694183144557,37.28162795162219,16.951430216932234
강서구,2025,여,-0.2896952671225878,-0.19336579058150105,20.623333333333335,56.32506004803843,36.46917534027222,7.205764611689351
관악구,2016,남,0.11042839815925731,-0.01815311534440463,21.40232558139535,49.772772179411184,41.11835605611539,9.108871764473424
관악구,2016,여,-0.0948401191697641,0.08576431583916273,24.995454545454546,57.661996497373025,38.463222416812606,3.8747810858143605
관악구,2017,남,-0.13912586556079923,-0.27453672419173075,21.668181818181818,46.633033559991226,43.18929589822329,10.17767054178548
관악구,2017,여,-0.15004864738324653,-0.4233972002165361,20.95,58.5693710993759,37.51800288046087,3.912626020163226
관악구,2018,남,0.03264359258118484,0.3204955487927881,21.625,50.476190476190474,38.452380952380956,11.071428571428571
관악구,2018,여,-0.0721147744857736,0.5363719812974678,20.8,63.74903175832688,32.01652465788794,4.234443583785179
관악구,2019,남,0.010507423531389273,0.7523760321098344,21.775000000000002,55.64950038431975,35.306174737381504,9.044324878298744
관악구,2019,여,0.4066783985109768,0.013232690979961012,20.90681818181818,66.42355483522421,30.551053484602917,3.0253916801728797
관악구,2020,남,-0.12377870704036327,-0.20121885549580865,21.493333333333336,49.117087747894594,40.17929910350448,10.703613148600924
관악구,2020,여,0.3499125974957582,0.21596170027169356,20.766666666666666,62.169919632606195,33.95522388059701,3.874856486796785
관악구,2021,남,-0.07143157111419063,0.012490146842066218,22.233333333333334,29.431438127090303,49.163879598662206,21.40468227424749
관악구,2021,여,-0.07804075452939155,0.2846958106265095,20.566666666666666,41.254125412541256,46.864686468646866,11.881188118811881
관악구,2022,남,-0.08426585064218876,-0.11089453070243228,22.652272727272727,37.056988942444,45.02409980153105,17.91891125602495
관악구,2022,여,0.02380779764758049,0.19696119585019792,20.956818181818182,52.73646638905414,39.47055324211779,7.792980368828078
관악구,2023,남,-0.14797094683092907,0.7567484679841076,22.57111111111111,40.0,41.82634730538922,18.17365269461078
관악구,2023,여,-0.15923303030278238,0.051609749617921384,20.977777777777778,53.283066289663836,37.88878416588125,8.828149544454917
관악구,2024,남,0.15438796387055018,0.4106215833596778,22.224444444444444,45.82686937635743,38.473471920570894,15.699658703071673
관악구,2024,여,0.33029586045851383,0.4440029467598749,20.76222222222222,58.909574468085104,33.87632978723404,7.214095744680852
관악구,2025,남,-0.16267950798144853,1.1023142253423919,22.288888888888888,45.295829291949566,38.89427740058196,15.809893307468478
관악구,2025,여,-0.2820193613853329,0.911287444010436,20.822222222222223,58.97966218545329,33.57462943812479,7.445708376421924
광진구,2016,남,0.36940690697468376,0.8118626018358626,21.3969696969697,41.76182707993475,50.83605220228385,7.402120717781403
광진구,2016,여,0.4866732740169521,0.17808625051705876,20.605555555555554,56.07816405362418,41.03612815269257,2.885707793683254
광진구,2017,남,0.14393172029264512,0.8972080018395874,21.490909090909092,45.72659260938563,44.933121741101786,9.340285649512582
광진구,2017,여,0.3589095433444253,0.8044664820161745,20.466666666666665,59.74025974025974,36.949325184619305,3.3104150751209573
광진구,2018,남,0.36116182065630453,1.0414402442981825,21.62727272727273,48.98656898656898,44.810744810744815,6.202686202686203
광진구,2018,여,0.43311329329073617,-0.34131465053514787,20.672222222222224,60.05291005291006,38.042328042328045,1.9047619047619049
광진구,2019,남,0.21619226827455904,-0.10322104309514447,22.027272727272727,49.89674754775426,43.572534847702634,6.530717604543108
광진구,2019,여,0.2927590124002276,-0.22758027696398964,20.727777777777778,62.26781258663709,35.237039090657056,2.4951483227058495
광진구,2020,남,0.12839782563431798,-0.15976398850140147,22.027272727272727,46.35725849973017,47.27468969239072,6.368051807879114
광진구,2020,여,0.29405657276823977,0.2562096281745236,20.969444444444445,61.057962858750706,36.80360157568936,2.1384355655599325
광진구,2021,남,0.49454845868578273,0.1277838099996044,23.725,32.89902280130293,58.306188925081436,8.794788273615636
광진구,2021,여,0.8927827148452635,0.3291283078023445,21.85,36.417910447761194,58.2089552238806,5.3731343283582085
광진구,2022,남,0.18438669960966533,0.03638215477525033,22.966666666666665,36.204103671706264,51.5658747300216,12.230021598272138
광진구,2022,여,0.5134046356236502,0.21802863710782217,20.866666666666667,52.913165266106446,41.62464985994398,5.46218487394958
광진구,2023,남,-0.24619579994264532,0.22410632909078243,22.46060606060606,43.483210017074555,43.625498007968126,12.891291974957314
광진구,2023,여,0.01807265158192406,1.2433922599520812,20.594444444444445,59.6887844979448,35.819142689371695,4.4920728126834994
광진구,2024,남,0.520210656811306,1.109764340487414,22.05757575757576,50.603795284646345,37.924094307073034,11.47211040828062
광진구,2024,여,0.6612858226617397,0.40095837399783063,20.566666666666666,66.24122527121888,29.674537332482448,4.0842373962986604
광진구,2025,남,0.4218553276612767,0.9377091491918015,22.26060606060606,48.372648551806506,40.69871603463721,10.928635413556286
광진구,2025,여,0.21670045998676618,0.8610865415651512,20.894444444444446,61.36290581806493,34.42622950819672,4.210864673738348
구로구,2016,남,1.0358362576329545,-0.9632178760625784,21.394871794871793,53.548636627344806,37.67163024560046,8.779733127054728
